id,text,attitudes,comments,reposts
id,text,attitudes,comments,reposts
id,text,attitudes,comments,reposts
id,text,attitudes,comments,reposts
id,text,attitudes,comments,reposts
id,text,attitudes,comments,reposts
5070626380058958,感谢推荐,7,1,2
5070486381790321,@京东京造,0,1,0
5016437486518851,转发微博,6,0,2
5015254340209061,北京 崔庆才丨静觅的微博视频,2,2,0
5015019637178593,实在是高！,2,1,1
5012880691299523,,1,0,1
5009817909330018,一只又乖又好看的招财猫 北京,8,2,0
5009815632347393,猫咪狂想曲 北京 崔庆才丨静觅的微博视频,4,0,0
5007268665626463,面向猫猫编程 崔庆才丨静觅的微博视频,9,1,0
5006866248110639,转发微博,0,0,2
5006408536033990,转发微博,0,0,0
5005270026030012,//@王尼玛:,0,1,0
5005042991499580,//@金山://@老刀99:能有工牌戴都不错了，那些再老一点的牛不仅没有工牌还有可能随时被宰（cai ）了//@土味老爹:天天喊辞职，工牌戴的比谁都快//@渣蜀黍:怎么上传我的工作vlog？//@大头和他的朋友们:哈哈哈哈//@酥饼188-:是谁破防了我不说，但是这个场景真的眼熟,4,1,2
5003799390062161,,0,0,0
5002161844388701,转发微博,0,0,0
4999278390675992,转发微博,1,0,4
4997791894210170,服了,0,0,0
4977701278715265,//@SexFriend:不知道原理，反正管用。,1,1,6
4962172771238026,转发微博,0,0,0
4952880811345128,转发微博,0,0,1
4952700757216129,转发微博,1,0,0
4952699990967581,//@梁斌penny:重大信号//@明涛ECON:军公教//@学术大观察://@科技与女性:其实是所有公务员退休金都要腰斩…然后会有30%以上的下岗比例。我从前两年就不推荐考公。,2,0,2
4950198410808975,,2,1,0
4921042366368236,,2,0,2
4921038103905917,转发微博,2,0,5
4921038087651774,转发微博,2,0,0
4918761163326875,//@Easy:转需//@蚁工厂:去这里：智能法律咨询，一步步的输入对方欠多少钱约定的还款期和你有的证据啥的，最后生成一个法律咨询书，包括真要诉讼的具体流程和费用、用到的各类文件模板 网页链接,1,0,10
4916622017956803,//@互联网的那点事:【美团：王慧文因个人健康原因辞任美团董事】美团在港交所公布，王慧文先生因个人健康原因，已提出辞去本公司非执行董事、本公司董事会之提名委员会成员和本公司之授权代表证券上市规则的职务，自2023年6月26日起生效。//@互联网的那点事:看来蛮严重 查看图片,0,0,0
4915011883106934,,0,0,0
4910985150464252,哪位大佬有带开发ChatGPT Plugin权限的ChatGPT账户？能上传和测试本地开发的ChatGPT Plugin。重金求购。,5,2,0
4909595799586650,卧槽！,1,0,0
4909253866817561,,1,0,1
4905962852843533,//@霜叶:草//@二猪://@以史为鉴V:哈哈哈哈哈//@宣和一人:李玉刚回美国哈哈哈哈哈哈,3,1,0
4902462421471329,,4,0,0
4901639801278630,啊啊啊啊不敢相信//@小林犬:R.I.P.，耗子老师一路走好,3,0,2
4892911601189884,转发微博,3,0,1
4892560978084692,转发微博,1,0,0
4892321444797301,,2,3,1
4891878346458262,,1,1,0
4891878002528392,//@hangcom2010:私有化部署可以玩起来//@imClumsyPanda:感谢大家对项目的支持 🙏 本项目目前已连续3天登上 Github 当日热门仓库，并在上线8天时间获得超过 1000 Stars 后续将会对项目进行持续优化。,3,1,71
4889793408536413,,2,0,2
4887908734995671,,1,0,0
4887908504571718,转发微博,0,0,0
4886549957447614,别骂了别骂了,0,0,2
4886469816095656,苏州真不错呀！ 苏州,10,11,0
4886454486696783,转发微博,1,0,0
4886454444491988,转发微博,5,1,0
4886421188118483,转发微博,2,0,5
4886195131911806,转发微博,3,0,2
